isbn,book_title,book_author,year_of_publication,Summary,Language,Category,img_l,average_rating
0345417623,Timeline,MICHAEL CRICHTON,2000.0,"Using a quantum time machine, a group of young historians is sent back
to the year 1357 to rescue their trapped project leader.",en,Fiction,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,3.4
0425099148,Death in the Clouds,Agatha Christie,1997.0,"When Madame Giselle, the well-known Parisian moneylender, is poisoned
aboard the air liner Prometheus, all the other passengers become
murder suspects",en,Fiction,http://images.amazon.com/images/P/0425099148.01.LZZZZZZZ.jpg,3.2
0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989.0,"In the year 12,020 G.E., Hari Seldon arrives in the domed city of
Trantor and begins to develop his theory of psychohistory, which
predicts the rise of a power greater than the Empire. Reissue.",en,Fiction,http://images.amazon.com/images/P/0553278398.01.LZZZZZZZ.jpg,3.1
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996.0,"Dr. Ransom is abducted to the eerie red planet, Malacandra, where his
escape and flight endanger both his life and his chances of ever
returning to Earth",en,Fiction,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,3.2
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003.0,"Five American expatriates living in Budapest in the early 1990s seek
to establish themselves and make their fortunes in a city still
haunted by the tragedies of its Communist past.",en,Fiction,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,3.4
0425163091,Chocolate Jesus,Stephan Jaramillo,1998.0,"When Sydney Corbett comes up with the idea of making candy figures of
Jesus, it&#39;s just a business opportunity for him and the people at
Bea&#39;s Candies, but it is blasphemy for the Reverend Willie Domingo
and the Church of the Returning ...",en,Fiction,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,3.2
0375406328,Lying Awake,Mark Salzman,2000.0,"Sister John of the Cross, an elderly nun, experiences a series of
dazzling visions, but she is confronted with a difficult choice
between her spiritual gifts and curing the powerful headaches that
accompany her visions.",en,Fiction,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,3.4
0446310786,To Kill a Mockingbird,Harper Lee,1988.0,"The unforgettable novel of a childhood in a sleepy Southern town and
the crisis of conscience that rocked it, To Kill A Mockingbird became
both an instant bestseller and a critical success when it was first
published in 1960.",en,Fiction,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,3.6
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,"True story of how three men and a great racehorse captivated the
world.",en,History,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,3.4
0060168013,Pigs in Heaven,Barbara Kingsolver,1993.0,"As this spellbinding novel unfolds, it draws the reader into a world
of heartbreak and redeeming love, testing the boundaries of family and
the many separate truths about the ties that bind.",en,Fiction,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,3.3
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996.0,"Murder victim Stanley Plummer has been cataloging a collection of
Native American books for Bellehaven&#39;s new Cultural Center when
Helma steps in to complete the cataloging and find Plummer&#39;s
murderer on the side.",en,Fiction,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,3.0
0061099686,Downtown,Anne Rivers Siddons,1995.0,"Her new job as a writer with the city&#39;s Downtown magazine
introduces her to many unforgettable people and propels her into the
center of momentous events that will irrevocably alter her heart, her
career, and her world.",en,Fiction,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,3.0
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994.0,"A young news reporter on assignment at a large metropolitan hospital
is horrified when she sees that a young Jane Doe whom paramedics have
failed to save has a face identical to her own",en,Fiction,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,3.1
0553582747,From the Corner of His Eye,Dean Koontz,2001.0,"Koontz looks heavenward for inspiration in his newest suspense
thriller, which is chock-full of signs, portents, angels, and one
somewhat second-rate devil, a murky and undercharacterized guy named
Junior Cain who throws his beloved wife ...",en,Fiction,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,3.3
0425182908,Isle of Dogs,Patricia Cornwell,2002.0,"Angered over the governor&#39;s order on speed traps, the eccentric
inhabitants of the Isle of Tangier, off the coast of Virginia, declare
war on their own state, and it is up to Judy Hammer, the new
superintendent of the state police, to stop ...",en,Fiction,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,3.1
042518630X,Purity in Death,J.D. Robb,2002.0,"Eve Dallas must face the impossible: someone has unleashed a computer
virus that may be able to spread from machine to man.",en,Fiction,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,3.2
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997.0,"Presents an anthology of Christmas stories reflecting on the various
ways in which the holidays serve as a catalyst to promote change,
growth, and new beginnings",en,Fiction,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,3.2
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000.0,"The first book in the author&#39;s successful &quot;last days&quot;
series follows a 747 pilot as he tries to recover from the effects of
&quot;The Rapture.&quot; Reprint.",en,Fiction,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,3.2
0440225701,The Street Lawyer,JOHN GRISHAM,1999.0,"After a violent encounter with a homeless man, talented corporate
lawyer Michael finds himself out in the streets, lucky to be alive,
and holding a top-secret file belonging to his former employers",en,Fiction,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,3.2
0380715899,A Soldier of the Great War,Mark Helprin,1992.0,"Encountering a younger man on a road in Italy, seventy-something
professor Alessandro Guiliani recounts his experiences, spinning a
tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint.",en,Fiction,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,3.2
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995.0,"Having relented to the ways of her people in Pakistan and married the
rich older man to whom she was pledged against her will, Shabanu is
now the victim of his family&#39;s blood feud and the malice of his
other wives",en,Juvenile fiction,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,3.4
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978.0,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his
Vivid and Startling Insight Into the Brain of Man and Beast, the
Origin of Human Intelligence, the Function of our Most Haunting
Legends -- and Their Amazing Links to Recent ...",en,Science,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,3.0
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998.0,"Generally regarded as the pre-eminent work of Conrad&#39;s shorter
fiction, &#39;Heart of Darkness&#39; is a chilling tale of horror
which, as the author intended, is capable of many interpretations.",en,Fiction,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,2.9
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997.0,"The story of a simple country girl whose family&#39;s pretentions lead
to her destruction",en,Fiction,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,3.2
0060938412,The Accidental Virgin,Valerie Frankel,2003.0,"You were so promising at the beginning: Sexy, smart, personable and
funny. Great on dates and really great afterward-if you know what I
mean. But this is a sad state of affairs; or, in your case, non-
affairs!",en,Fiction,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,3.5
0140067477,The Tao of Pooh,Benjamin Hoff,1983.0,"An expert in Chinese philosophy explains facets of Taoism using
Milne&#39;s famous character and explores the world of Winnie-the-Pooh
through Tao, characterizing Pooh as a simple bear who subscribes to
the principles of successful living",en,Humor,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,3.5
0345465083,Seabiscuit,LAURA HILLENBRAND,2003.0,"Retraces the journey of Seabiscuit, a horse with crooked legs and a
pathetic tail that made racing history in 1938, thanks to the efforts
of a trainer, owner, and jockey who transformed a bottom-level
racehorse into a legend.",en,History,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,3.2
0441783589,Starship Troopers,Robert A. Heinlein,1987.0,"In a futuristic military adventure a recruit goes through the roughest
boot camp in the universe and into battle with the Terran Mobile
Infantry in what historians would come to call the First Interstellar
War",en,Fiction,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,3.3
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000.0,"A forensic pathologist returns to Sri Lanka--after 15 years abroad--to
assist in identifying victims of the country&#39;s civil war",en,Fiction,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg,3.3
0316769487,The Catcher in the Rye,J.D. Salinger,1991.0,"&quot; The hero-narrator of The Catcher in the Rye is an ancient child
of sixteen, a native New Yorker named Holden Caufield.",en,Fiction,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,3.6
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the
local bad boy is shot dead inside of the opulent mansion of a gay
antiques dealer, and a gripping trial follows",en,History,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg,3.3
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998.0,"Placed in the federal witness protection program after seeing a
murder, Manhattan real-estate agent Lacey Farrell nevertheless must
solve the case before she becomes the next victim",en,Fiction,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,3.2
0312252617,Fast Women,Jennifer Crusie,2001.0,"Following her divorce, Nell Dysart takes a job working for a detective
agency and finds herself knee deep in embezzlement, bribery,
blackmail, arson, adultery, murder, and passion with her boss, Gabe
McKenna. 75,000 first printing.",en,Fiction,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg,3.4
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002.0,"Hailed for its quirkiness and charm, this book tells the story of a
New York City lawyer who runs away to a small Etruscan village with
his wife and baby and discovers a community of eccentrics who make
them feel right at home.",en,Biography & autobiography,http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg,3.3
0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002.0,"A tragic love affair unfolding in Fascist-dominated Rome during World
War II. These are the elements of a magnificent literary entertainment
-- a novel that resonates with tales of love and betrayal as it deals
profoundly with questions of ...",en,Fiction,http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg,3.0
0451166892,The Pillars of the Earth,Ken Follett,1996.0,"Set in twelfth-century England, this epic of kings and peasants
juxtaposes the building of a magnificent church with the violence and
treachery that often characterized the Middle Ages. Reissue.",en,Fiction,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,3.3
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995.0,"The idyllic world of the Greek island of Cephallonia is forever
changed by the inexorable changes of World War II, as the inhabitants
struggle to cope with the Axis invasion and occupation",en,Fiction,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,3.1
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003.0,"With a timeless tale, appealing to all, this is a book that readers of
fine fiction, and those who loved Tuesdays with Morrie, will treasure.",en,Fiction,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,3.6
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992.0,"The starship Enterprise rescues Captain Montgomery Scott, who has been
missing in space for seventy-five years and finds that the world has
changed beyond his recognition",en,Fiction,http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg,3.1
0446608653,The Alibi,Sandra Brown,2000.0,"In this suspenseful Southern thriller and #1 New York Times
bestseller, an ambitious prosecutor investigates a high-stakes case
after Charleston&#39;s most powerful real estate magnate is murdered.",en,Fiction,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg,3.1
0451208080,The Short Forever,Stuart Woods,2003.0,"Arriving in London to find a young woman, who has been seen in the
company of an unsavory gentleman, for a client, Stone Barrington
stumbles upon a deadly rivalry between two spies and is implicated in
a horrifying double murder.",en,Fiction,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg,3.3
0553584383,Dead Aim,IRIS JOHANSEN,2004.0,"During a gut-wrenching assignment photographing a disaster,
photojournalist Alex Graham begins to suspect that the
&quot;natural&quot; catastrophe had really been a case of premeditated
mass murder, but when the former military assassin assigned to ...",en,Fiction,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg,3.4
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004.0,"Written with the intelligence and grace that are the hallmarks of
Anita Shreve&#39;s bestselling novels, this gripping tale of desire,
jealousy, and loss is peopled by unforgettable characters as real as
the emotions that bring them together.",en,Fiction,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg,3.5
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003.0,"Recounts the story of how a notorious gang of MIT blackjack savants
devised and received backing for a system for winning at the
world&#39;s most sophisticated casinos, an endeavor that earned them
more than three million dollars.",en,Biography & autobiography,http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg,3.4
0425184226,The Sum of All Fears,Tom Clancy,2002.0,"Peace may finally be at hand in the Middle East - as Deputy Director
of the CIA Jack Ryan lays the groundwork for a peace plan that could
end centuries of conflict.",en,Fiction,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg,3.1
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999.0,"But Care Packages is not only about the &quot;strangers and other
friends&quot; who have had such a profound effect on the Reeves.With
an introduction to each chapter by Dana Reeve, it is also the story of
a marriage and a family facing the ultimate ...",en,Biography & autobiography,http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg,3.3
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998.0,"The rise and fall, birth and death, of the mythical town of Macondo
through the history of the Buendía family.",en,Fiction,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,3.5
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,"Don&#39;t miss Little Altars Everywhere, the New York Times
bestselling companion novel that introduces the Ya-Yas and is also a
basis for the film.",en,Fiction,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg,3.3
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992.0,"Jim Chee is torn between his role as the prosecution&#39;s star
witness against the man charged with killing his best friend and his
own investigation of the crime. Reprint",en,Fiction,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg,3.1
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994.0,"Restless loner and motorcycle rider Michael Tillman is unable to
resist his powerful feelings for Jellie Braden, a free spirit trapped
in a passionless marriage. By the author of The Bridges of Madison
County. Reprint.",en,Fiction,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg,3.0
038572179X,Atonement : A Novel,IAN MCEWAN,2003.0,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event
involving her sister Cecilia and her childhood friend Robbie Turner,
and she becomes the victim of her own imagination, which leads her on
a lifelong search for truth and ...",en,Fiction,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,3.2
0345425294,Gangster,Lorenzo Carcaterra,2002.0,"By taking Gabe under his wing and teaching him everything he knows,
Angelo Vestieri will learn, in the winter of his life, which is
greater: his love for the boy he cherishes, or his need to be a
gangster and to live by the savage rules he ...",en,Fiction,http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg,3.0
0451410319,Hush,Anne Frasier,2002.0,"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ...",en,Fiction,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg,3.3
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0,"As a series of grisly murders terrorizes the small, backwoods town of
Silence, Nell Gallagher, a young woman with special psychic gifts,
holds the power to unravel the mystery, uncover the dark secrets that
could destroy the town, and find ...",en,Fiction,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg,3.3
0380778556,Rebecca,Daphne Du Maurier,1994.0,"Danvers -- still loyal. And as an eerie presentiment of evil tightened
around her heart, the second Mrs. de Winter began her search for the
real fate of Rebecca...for the secrets of Manderley.",en,Fiction,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,3.4
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003.0,"Even though she is out of work and her apartment is too small,
newlywed Amy Thomas Stewart finds herself longing to have a baby.",en,Fiction,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg,3.3
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986.0,"When Nore Robbins visits her new stepmother, brother, and sister in
Louisiana, she is unnerved by the feeling of evil and eerie threats
that pervades the plantation. Reissue.",en,Juvenile fiction,http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg,3.3
0505524996,Contact,Susan Grant,2002.0,"An airline officer on a trans-Atlantic flight finds her ship hijacked
by aliens and a member of her crew the only one she can trust—and
eventually love.",en,Fiction,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg,2.8
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002.0,"That, she understands just fine. She&#39;s not your standard-issue
princess-and this is not your standard-issue fairy tale.",en,Fiction,http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg,3.4
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995.0,"The author of the blockbuster The Bridges of Madison County blends
passion and adventure in the story of an American novelist in Mexico
and his young lover, who take a trip with a killer.",en,Fiction,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg,3.2
0060801263,Tree Grows In Brooklyn,Betty Smith,1988.0,A poignant story of childhood and family relationships.,en,American fiction,http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg,3.2
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001.0,Scott Foresman Reading Street ((c)2008) components for Grade 5.,en,Biography & autobiography,http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg,3.2
0140250964,Snow Angels,Stewart O'Nan,1995.0,"Weaves together two stories in the account of how fifteen-year-old
Arthur Parkinson&#39;s family fell apart and the life and death of
Annie Marchand, a young woman Arthur adored as a child",en,Fiction,http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg,3.4
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003.0,"Kate Morrison, orphaned at the age of seven, grows up seeing her
brilliant older brother Matt&#39;s failure to further his education as
a tragedy, and feeling somewhat guilty about her own accomplishments,
and it is not until years later that ...",en,Fiction,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg,3.3
039575514X,My Antonia,Willa Cather,1995.0,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood
in Nebraska, particularly a young Bohemian girl named Antonia
Shimerda, are set against the backdrop of the American assimilation of
immigrants.",en,Fiction,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg,3.5
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995.0,"In early nineteenth-century England, a spirited young woman copes with
the suit of a snobbish gentleman, as well as the romantic
entanglements of her four sisters.",en,Fiction,http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg,3.5
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990.0,"Then she met the Horseman. And she discovered that one who would ride
a night mare was a master of bit and spur, and not a man to surrender
her. For the night mare, it all began to be a horrible nightmare!",en,Fiction,http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg,3.6
0060977493,The God of Small Things,Arundhati Roy,1998.0,"A debut novel of dark foreboding and family tragedy that won the
prestigious Booker Prize traces the decline of one family in Southern
India in the late sixties, which begins with an episode of forbidden
love. Reprint. Tour.",en,Fiction,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg,3.3
0140272100,Vanished,Mary McGarry Morris,1997.0,Aubrey Wallace is the kind of man no one notices.,en,Fiction,http://images.amazon.com/images/P/0140272100.01.LZZZZZZZ.jpg,3.4
0156006529,Where or When  : A Novel,Anita Shreve,1999.0,"When two lovers meet once again after thirty-one years of separation,
they renew their attraction to each other and grapple with the issues
of aging, erotic love, and betrayal. Reprint. 20,000 first printing.",en,Fiction,http://images.amazon.com/images/P/0156006529.01.LZZZZZZZ.jpg,3.2
0312169787,The Red Tent : A Novel,Anita Diamant,1997.0,"In a story based on the Book of Genesis, Jacob&#39;s only daughter,
Dinah, shares her unique perspective on the origins of many of our
modern religious practices and sexual politics, eager to impart the
lessons in endurance and humanity she has ...",en,Fiction,http://images.amazon.com/images/P/0312169787.01.LZZZZZZZ.jpg,3.3
0345378490,Congo,Michael Crichton,1995.0,"Armed with the latest gifts of advanced technology, a California
scientist, a ruthless corporation agent, and a mercenary hunter face
the dangers of the Congo jungle in search of the diamonds of the lost
city of Zinj Deep in the heart of ...",en,Fiction,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg,3.2
0345404793,Protect and Defend,Richard North Patterson,2001.0,"When the Chief Justice of the Supreme Court drops dead following the
inauguration, President Kerry Kilcannon selects as a replacement Judge
Caroline Masters, a woman who hides a secret that could affect her
ruling on a controversial case.",en,Fiction,http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg,3.2
0345409051,Errands,Judith Guest,1998.0,"Afflicted with grief, a widow and her three young children begin
drifting apart, until a frightening accident awakens them to the bonds
they still share",en,Fiction,http://images.amazon.com/images/P/0345409051.01.LZZZZZZZ.jpg,3.2
0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998.0,"The MacGregors; Serena &amp; Caine by Nora Roberts released on Oct 23,
1998 is available now for purchase.",en,Fiction,http://images.amazon.com/images/P/0373483880.01.LZZZZZZZ.jpg,3.2
0375400117,Memoirs of a Geisha,Arthur Golden,1997.0,"&quot;Captivating, minutely imagined . . . a novel that refuses to
stay shut&quot; (&quot;Newsweek&quot;), &quot;Memoirs of a
Geisha&quot; is now released in a movie tie-in edition.",en,Fiction,http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg,3.6
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000.0,"From the unsettled lives of a small-town teacher struggling to raise
two boys alone in the face of their mother&#39;s retreat from life, a
pregnant teenage girl with nowhere to go, and two elderly bachelor
farmers emerges a new vision of life ...",en,Fiction,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg,3.3
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992.0,"Pop-up paper sculptures for each letter celebrate the Christmas
season.",en,Fiction,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg,3.2
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993.0,"Dr. Kay Scarpetta is up against a serial killer who targets young
lovers.",en,Fiction,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg,3.2
0385316895,Legacy of Silence,Belva Plain,1998.0,"Two sisters separated by adoption and a romantic betrayal emigrate to
America from Berlin after their parents fall victim to the Nazis Belva
Plain has crafted a remarkable tale, spanning the decades from the eve
of World War II in Germany ...",en,Fiction,http://images.amazon.com/images/P/0385316895.01.LZZZZZZZ.jpg,3.5
0385508042,The King of Torts,John Grisham,2003.0,"The author of such best-selling legal thrillers as The Summons and The
Brethren presents his latest novel of courtroom and legal suspense.
2,500,000 first printing. $2,500,000 ad/promo.",en,Fiction,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg,3.3
0385511612,Bleachers,John Grisham,2003.0,"From the best-selling author of The Painted House, Skipping Christmas,
and The Firm comes a nostalgic novel about high school football in a
small Texas town, a place in which football has become a religion.
2,000,000 first printing.",en,Fiction,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg,3.4
0385720106,A Map of the World,Jane Hamilton,1999.0,"While under the care of Alice Goodwin, a neighbor&#39;s child drowns
in the Goodwins&#39; pond, a devastating accident that has profound
repercussions for the entire Goodwin family, in a story set in a small
Midwestern farm town",en,Fiction,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg,3.2
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003.0,"Over a few bags of cheese puffs they decide to form a sisterhood, and
take the vow of The Sisterhood of the Traveling Pants . . . the next
morning, they say good-bye.",en,Juvenile fiction,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg,3.4
